Time,Pressure,PCS Setpoint,Motor Z,Motor T,Heat1 Setpoint,"Heat1, V","Heat1, A","Heat 1, T",Heat2 Setpoint,"Heat2, V","Heat2, A","Heat2, T",Bias Setpoint,"Bias, V","Bias, A",Bx,By,Bz
10:48:42,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
10:48:43,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
10:48:44,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
10:48:45,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
10:48:46,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
10:48:47,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
10:48:48,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
10:48:49,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
10:48:50,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
10:48:51,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
10:48:52,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
10:48:53,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
10:48:54,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
10:48:55,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
10:48:56,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
10:48:57,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
10:48:58,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
10:48:59,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
10:49:00,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
10:49:01,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
10:49:02,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
10:49:03,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
10:49:04,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
10:49:05,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
10:49:06,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
10:49:07,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
10:49:08,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
10:49:09,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
10:49:10,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
10:49:11,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
10:49:12,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
10:49:13,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
10:49:14,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
10:49:15,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
10:49:16,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
10:49:17,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
10:49:18,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
10:49:19,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
10:49:20,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
10:49:21,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
10:49:23,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
10:49:24,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
10:49:25,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
10:49:26,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
10:49:27,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
10:49:28,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
10:49:29,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
10:49:30,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
10:49:31,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
10:49:32,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
10:49:33,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
10:49:34,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
10:49:35,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
10:49:36,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
10:49:37,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
10:49:38,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
10:49:39,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
10:49:40,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
10:49:41,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
10:49:42,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
10:49:43,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
10:49:44,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
10:49:45,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
10:49:46,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
10:49:47,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
10:49:48,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
10:49:49,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
10:49:50,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
10:49:51,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
10:49:52,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
10:49:53,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
10:49:54,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
10:49:55,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
10:49:56,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
10:49:57,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
10:49:58,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
10:49:59,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
10:50:00,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
10:50:01,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
10:50:02,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
10:50:03,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
10:50:04,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
10:50:05,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
10:50:06,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
10:50:07,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
10:50:08,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
10:50:09,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
10:50:10,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
10:50:11,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
10:50:12,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
10:50:13,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
10:50:14,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
10:50:15,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
10:50:16,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
10:50:17,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
10:50:18,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
10:50:19,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
10:50:20,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
10:50:21,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
10:50:23,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
10:50:24,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
10:50:25,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
10:50:26,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
10:50:27,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
10:50:28,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
10:50:29,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
10:50:30,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
10:50:31,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
10:50:32,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
10:50:33,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
10:50:34,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
10:50:35,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
10:50:36,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
10:50:37,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
10:50:38,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
10:50:39,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
10:50:40,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
10:50:41,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
10:50:42,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
10:50:43,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
10:50:44,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
10:50:45,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
10:50:46,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
10:50:47,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
10:50:48,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
10:50:49,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
10:50:50,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
10:50:51,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
10:50:52,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
10:50:53,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
10:50:54,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
10:50:55,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
10:50:56,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
10:50:57,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
10:50:58,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
10:50:59,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
10:51:00,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
10:51:01,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
10:51:02,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
10:51:03,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
10:51:04,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
10:51:05,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
10:51:06,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
10:51:07,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
10:51:08,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
10:51:09,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
10:51:10,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
10:51:11,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
10:51:12,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
10:51:13,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
10:51:14,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
10:51:15,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
10:51:16,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
10:51:17,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
10:51:18,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
10:51:19,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
10:51:20,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
10:51:21,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
10:51:22,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
10:51:24,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
10:51:25,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
10:51:26,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
10:51:27,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
10:51:28,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
10:51:29,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
10:51:30,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
10:51:31,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
10:51:32,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
10:51:33,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
10:51:34,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
